Id,Price
1,402336.42820100003
2,807195.773239
3,952784.1824889999
4,631198.717186
5,749127.197783
6,256169.25784699997
7,764206.9952550002
8,325423.37319099996
9,475420.148665
10,293041.90903000004
11,477107.28391000006
12,462968.47784899996
13,1108335.796655
14,353578.25208299997
15,609171.1981439999
16,598508.225395
17,960169.934207
18,773951.985199
19,815009.312287
20,686706.628193
21,759777.722955
22,385449.22335100005
23,419640.814547
24,661406.822232
25,378622.94249499997
26,315665.32640300004
27,716137.388331
28,509719.47066099994
29,421446.595256
30,242616.436302
31,424863.150444
32,218516.44095500003
33,933282.8626469999
34,642952.973269
35,663425.150176
36,705509.634989
37,330981.692301
38,577566.18665
39,606786.057064
40,537908.8415260001
41,430198.772924
42,256466.839756
43,307599.666971
44,210363.998591
45,146428.090545
46,678742.922855
47,818831.864738
48,435031.896375
49,449005.26668999996
50,482939.45705
51,518963.16911099997
52,476236.50428500003
53,449891.72596099996
54,644337.3645189999
55,405933.12182199996
56,133194.069657
57,840585.201447
58,273283.124078
59,230870.559812
60,805061.0591439998
61,457830.148805
62,785164.624605
63,362008.081472
64,565224.423724
65,725712.604665
66,980655.059825
67,758377.014253
68,727789.497038
69,292212.562293
70,492903.64534700004
71,249448.633734
72,374264.883615
73,696692.368082
74,766707.658857
75,549465.884613
76,429518.363933
77,815618.4330930002
78,811177.694771
79,506099.458601
80,318262.081717
81,683799.467056
82,706633.29829
83,175602.365805
84,1028073.6109389999
85,241068.111843
86,594825.0592850001
87,791901.975108
88,653730.0514819999
89,828805.2959189998
90,489296.047761
91,380288.623442
92,407361.40738600004
93,488988.297709
94,1914309.2979869999
95,319956.048403
96,964141.839
97,824786.84146
98,486772.366775
99,452410.758255
100,245513.46886
101,308606.917514
102,494064.802554
103,364982.810804
104,744794.036671
105,629334.435049
106,294181.045162
107,193172.028069
108,321897.75543099997
109,255495.29033400002
110,243126.685924
111,417113.434145
112,1101917.543628
113,308065.955216
114,504436.071018
115,852953.983327
116,407955.649178
117,600820.061139
118,498250.805384
119,294089.990183
120,859757.3964600002
121,352534.470533
122,759725.767767
123,1479141.0993360004
124,1177452.754437
125,1157639.310963
126,308507.367286
127,681246.818503
128,620371.429233
129,742776.631335
130,465848.92965299997
131,976817.4069540001
132,471094.86395
133,497519.367773
134,444888.26758199994
135,271617.968729
136,652154.4495989999
137,711164.172975
138,474816.62018800003
139,271851.114467
140,420571.712098
141,686619.7699770001
142,800720.4683279998
143,357868.351495
144,739173.893668
145,218102.830401
146,333235.566452
147,249125.509457
148,290622.20654600003
